,genre,name,pitch - 0,pitch - 1,pitch - 2,pitch - 3,pitch - 4,pitch - 5,pitch - 6,pitch - 7,pitch - 8,pitch - 9,pitch - 10,pitch - 11,pitch - 12,pitch - 13,pitch - 14,pitch - 15,pitch - 16,pitch - 17,pitch - 18,pitch - 19,pitch - 20,pitch - 21,pitch - 22,pitch - 23,pitch - 24,pitch - 25,pitch - 26,pitch - 27,pitch - 28,pitch - 29,pitch - 30,pitch - 31,pitch - 32,pitch - 33,pitch - 34,pitch - 35,pitch - 36,pitch - 37,pitch - 38,pitch - 39,pitch - 40,pitch - 41,pitch - 42,pitch - 43,pitch - 44,pitch - 45,pitch - 46,pitch - 47,pitch - 48,pitch - 49,pitch - 50,volume - 0,volume - 1,volume - 2,volume - 3,volume - 4,volume - 5,volume - 6,volume - 7,volume - 8,volume - 9,volume - 10,volume - 11,volume - 12,volume - 13,volume - 14,volume - 15,volume - 16,volume - 17,volume - 18,volume - 19,volume - 20,volume - 21,volume - 22,volume - 23,volume - 24,volume - 25,volume - 26,volume - 27,volume - 28,volume - 29,volume - 30,volume - 31,volume - 32,volume - 33,volume - 34,volume - 35,volume - 36,volume - 37,volume - 38,volume - 39,volume - 40,volume - 41,volume - 42,volume - 43,volume - 44,volume - 45,volume - 46,volume - 47,volume - 48,volume - 49,volume - 50
0,gaming,Dungeons and Daddies - S1E01 - A Man and His Handshake.mp3,0.0,2155.892822265625,372.0957946777344,648.50244140625,997.0075073242188,295.6029052734375,547.9173583984375,1075.5257568359375,1547.353759765625,460.8808898925781,1004.6162719726562,1114.3453369140625,1340.4600830078125,1370.4285888671875,1620.010986328125,1605.6566162109375,3700.83447265625,1604.8504638671875,1590.736083984375,1596.205078125,1844.0018310546875,336.2508850097656,312.67120361328125,390.19183349609375,2062.12353515625,752.3033447265625,1421.0174560546875,1773.559326171875,1019.03515625,774.2970581054688,589.4788208007812,2350.09033203125,507.6258239746094,1278.5555419921875,1606.0806884765625,317.1743469238281,2079.5185546875,690.8067016601562,1192.1787109375,1775.799072265625,344.8529052734375,1011.7708129882812,1616.7825927734375,1167.193359375,808.6799926757812,388.50091552734375,1387.2022705078125,816.9864501953125,1403.0804443359375,2502.227294921875,0.0,0.0,0.2837744355201721,0.35738563537597656,0.2361028641462326,0.2193925678730011,0.27604207396507263,0.32626935839653015,0.2398524135351181,0.1573459953069687,0.3798946440219879,0.37916460633277893,0.29445379972457886,0.2776561379432678,0.33786100149154663,0.2672855257987976,0.23011353611946106,0.1655738204717636,0.36383959650993347,0.31152141094207764,0.3462282121181488,0.21979621052742004,0.3614751994609833,0.29174286127090454,0.25716617703437805,0.33275890350341797,0.22267328202724457,0.31668582558631897,0.06449414044618607,0.3797319531440735,0.0921405702829361,0.3075253665447235,0.26239636540412903,0.22494681179523468,0.40315359830856323,0.2808091342449188,0.15643037855625153,0.20516857504844666,0.03682027384638786,0.3868577480316162,0.34723955392837524,0.231330007314682,0.41589799523353577,0.05274084210395813,0.41687431931495667,0.23745925724506378,0.33053484559059143,0.32994556427001953,0.3166646361351013,0.34146764874458313,0.2705477476119995,0.0
1,gaming,"The Draw of Destiny ｜ Critical Role ｜ Campaign 3, Episode 1.mp3",0.0,733.0584716796875,1121.121337890625,375.72369384765625,1624.7349853515625,1059.5882568359375,703.8665771484375,1631.1322021484375,355.9618835449219,701.0895385742188,405.66986083984375,455.93719482421875,666.5558471679688,1857.88720703125,643.5791625976562,671.7078857421875,705.8408203125,1210.7037353515625,803.3441162109375,1605.31689453125,676.8233032226562,919.2587890625,1948.4278564453125,1400.718017578125,1184.9267578125,1752.170166015625,263.4401550292969,1149.41650390625,954.9984130859375,1037.0799560546875,721.3505859375,341.708740234375,1270.0560302734375,786.8928833007812,448.35394287109375,568.3001708984375,941.2333984375,655.9526977539062,2145.262939453125,1369.8475341796875,1549.4129638671875,2114.477294921875,1035.6390380859375,1175.7698974609375,790.6703491210938,1645.039794921875,1703.9581298828125,1507.2835693359375,2305.48046875,963.2694091796875,0.0,0.0,0.32744690775871277,0.24746790528297424,0.22167330980300903,0.10124462842941284,0.07231555879116058,0.24484394490718842,0.3063991665840149,0.13657352328300476,0.11195935308933258,0.14432764053344727,0.1924922615289688,0.0730125904083252,0.06059876084327698,0.07847863435745239,0.0768289566040039,0.21921245753765106,0.08481097221374512,0.14328652620315552,0.21784332394599915,0.08124548941850662,0.36297088861465454,0.32458576560020447,0.12409329414367676,0.10357604920864105,0.13874992728233337,0.09857410937547684,0.08325377106666565,0.09885214269161224,0.2552439272403717,0.1882583498954773,0.2034692019224167,0.25223827362060547,0.2829267680644989,0.07102086395025253,0.1946394145488739,0.10517147928476334,0.07710547745227814,0.1897762268781662,0.21192654967308044,0.24525350332260132,0.157124862074852,0.3431447744369507,0.16897746920585632,0.20674288272857666,0.14439544081687927,0.23596732318401337,0.22058463096618652,0.087795190513134,0.1093602180480957,0.0
2,gaming,The Beginning Begins (Ep. 1) ｜ Fantasy High.mp3,1860.350830078125,1384.0179443359375,1671.798095703125,692.5393676757812,2242.197021484375,650.530517578125,1176.3331298828125,292.4577331542969,385.4919128417969,793.0236206054688,1146.260009765625,1850.948974609375,828.7553100585938,502.240478515625,1987.7864990234375,232.05810546875,558.3722534179688,636.7618408203125,205.8091583251953,2156.462646484375,483.1923828125,410.181640625,604.9240112304688,2809.90625,819.56201171875,188.2921905517578,567.4837646484375,2932.3017578125,2342.45166015625,1271.7403564453125,1215.722900390625,1035.7076416015625,1837.6484375,1101.19140625,271.52313232421875,330.38677978515625,1611.2462158203125,1394.2095947265625,1281.7513427734375,1596.0135498046875,431.35845947265625,906.7039794921875,1119.105712890625,1115.0250244140625,565.9236450195312,2273.81591796875,2468.97021484375,417.9123840332031,2197.849365234375,273.87518310546875,968.5763549804688,0.15601037442684174,0.1757640242576599,0.2582578957080841,0.16400595009326935,0.23257049918174744,0.24732014536857605,0.2691807746887207,0.1864091157913208,0.23924002051353455,0.322075754404068,0.17017175257205963,0.04341951757669449,0.3567359447479248,0.2338089495897293,0.36771777272224426,0.05895483121275902,0.3507438898086548,0.09805289655923843,0.1258353441953659,0.07263559848070145,0.22628474235534668,0.13645747303962708,0.15383705496788025,0.19193314015865326,0.21061578392982483,0.037465691566467285,0.05904080346226692,0.1639796793460846,0.41040509939193726,0.07661354541778564,0.14332108199596405,0.04478015378117561,0.15554505586624146,0.25127696990966797,0.14373274147510529,0.035151589661836624,0.2567552328109741,0.18572065234184265,0.10205963999032974,0.25084757804870605,0.03207758069038391,0.2223270684480667,0.15952068567276,0.18283133208751678,0.049119070172309875,0.22067078948020935,0.09002366662025452,0.06597601622343063,0.05601567402482033,0.08802489936351776,0.13463374972343445
3,gaming,Comedy - Ep.1： Here There Be Gerblins - Chapter One.mp3,2251.61669921875,2023.7987060546875,1576.0445556640625,1047.7633056640625,357.09637451171875,635.480712890625,492.91693115234375,1907.1239013671875,650.0103149414062,675.10009765625,378.7038879394531,351.5148620605469,384.0909729003906,2349.183837890625,284.9264831542969,1702.31103515625,1748.931396484375,2164.512939453125,2245.69091796875,528.0637817382812,1556.9268798828125,1676.5513916015625,665.3519897460938,1571.9990234375,1673.9276123046875,1697.276611328125,1077.0772705078125,2032.5701904296875,699.5614013671875,1632.4715576171875,1573.8836669921875,1505.4393310546875,1799.0108642578125,1117.4998779296875,2640.266357421875,327.65264892578125,2104.66357421875,589.0068359375,2045.647216796875,466.73828125,347.20867919921875,785.3858642578125,2869.9130859375,780.8651733398438,1111.860107421875,2600.029052734375,771.95068359375,995.5363159179688,2072.215576171875,1871.851806640625,0.0,6.315259426514785e-11,0.15369366109371185,0.43870359659194946,0.2841971218585968,0.1421748548746109,0.3905198276042938,0.170793816447258,0.27233290672302246,0.3222102224826813,0.06167500838637352,0.31889650225639343,0.24510225653648376,0.20533457398414612,0.25499770045280457,0.18742585182189941,0.2696494460105896,0.27803781628608704,0.2941671907901764,0.21007360517978668,0.10011740773916245,0.3681507706642151,0.08180680871009827,0.34251782298088074,0.41855189204216003,0.3471165895462036,0.09147115051746368,0.30385372042655945,0.09589380770921707,0.08606672286987305,0.3462477922439575,0.1672694981098175,0.08219815790653229,0.32279273867607117,0.3826359212398529,0.23671545088291168,0.16413433849811554,0.22154606878757477,0.3886594772338867,0.27358368039131165,0.08717379719018936,0.26160696148872375,0.05146648734807968,0.26221293210983276,0.19313658773899078,0.3528149425983429,0.19381284713745117,0.05689335614442825,0.2654989957809448,0.12488865107297897,0.29796549677848816,0.0
4,gaming,Not Another D&D Podcast： Episode 1 - Green Teens Gone (The Moonstone Saga).mp3,0.0,947.0676879882812,2219.8046875,1144.712890625,1244.2291259765625,1581.8984375,989.4735717773438,1651.6917724609375,826.74169921875,1099.3629150390625,833.5250854492188,1254.567626953125,542.2916870117188,286.1105041503906,490.72174072265625,502.80413818359375,2634.39599609375,1306.0015869140625,795.2647094726562,1270.289794921875,1941.5595703125,772.2067260742188,344.7919006347656,972.8653564453125,1665.5330810546875,2105.5126953125,493.66485595703125,1617.27734375,1182.933837890625,775.0892944335938,195.48667907714844,1874.48681640625,1169.45263671875,951.630859375,709.4208984375,298.7773742675781,1218.681640625,1497.857666015625,399.6094970703125,715.2142333984375,307.4382019042969,314.7869567871094,1221.444091796875,861.9794921875,868.1177978515625,1271.93359375,1364.223388671875,376.9349365234375,1305.403076171875,852.9352416992188,0.0,0.0,0.12068110704421997,0.34889650344848633,0.16315239667892456,0.28207793831825256,0.40510278940200806,0.4018302857875824,0.11714252084493637,0.16851972043514252,0.2307155579328537,0.35378098487854004,0.31835755705833435,0.34313204884529114,0.257353276014328,0.34673812985420227,0.299263060092926,0.22048968076705933,0.057062115520238876,0.28458699584007263,0.19965682923793793,0.30751222372055054,0.3683447539806366,0.18825867772102356,0.24974969029426575,0.25256016850471497,0.06399577111005783,0.2928188443183899,0.3559333086013794,0.16041769087314606,0.29864856600761414,0.104593425989151,0.3758378326892853,0.3908495604991913,0.38877925276756287,0.14761288464069366,0.21581576764583588,0.3814971148967743,0.48365655541419983,0.09644796699285507,0.26910969614982605,0.12632423639297485,0.23021245002746582,0.20103102922439575,0.28219425678253174,0.26856285333633423,0.3227643370628357,0.2607239782810211,0.3957713544368744,0.20530590415000916,0.3637496531009674,0.00021165848011150956
5,true_crime,The Gitchie Manitou MURDERS： America's MOST HAUNTED Crime Scene ｜ Full Podcast ｜ MURDER IN AMERICA.mp3,2158.095947265625,294.77154541015625,2340.32373046875,309.976318359375,492.0755615234375,790.901611328125,346.26019287109375,330.822998046875,399.5186462402344,290.11572265625,470.42047119140625,716.2717895507812,305.8851013183594,235.2564697265625,358.4832763671875,259.8403015136719,2075.2763671875,278.7110900878906,388.7582702636719,499.83087158203125,839.7998657226562,391.1784362792969,488.1700134277344,166.4996337890625,1449.3956298828125,656.9389038085938,784.0388793945312,684.9168701171875,564.7388305664062,735.4718017578125,1468.0230712890625,278.3764343261719,0.0,418.0763244628906,1264.7178955078125,1071.2958984375,204.56936645507812,1125.8951416015625,540.6677856445312,287.0130920410156,1048.312255859375,788.1090087890625,321.1481018066406,536.2537231445312,237.351318359375,248.5864715576172,479.8858947753906,261.71337890625,348.32122802734375,322.8804016113281,586.34716796875,3.684228317979432e-07,0.1617242395877838,0.2085181325674057,0.24526390433311462,0.2554776966571808,0.3431696891784668,0.295549213886261,0.21920612454414368,0.4037345349788666,0.1453387588262558,0.36299461126327515,0.20054104924201965,0.2027461677789688,0.2764240503311157,0.3923227787017822,0.3635488450527191,0.06423927843570709,0.42645910382270813,0.31496644020080566,0.176093190908432,0.3482295870780945,0.14498892426490784,0.2689708471298218,0.14538878202438354,0.3662714660167694,0.3704968988895416,0.11938571184873581,0.10944158583879471,0.22645267844200134,0.3049217164516449,0.36288878321647644,0.2638624310493469,0.18798838555812836,0.33641451597213745,0.28219443559646606,0.41262826323509216,0.22765542566776276,0.3882584571838379,0.43490147590637207,0.147055521607399,0.20987509191036224,0.3396444618701935,0.15548740327358246,0.1786113679409027,0.21129924058914185,0.2515455484390259,0.2255735695362091,0.17316533625125885,0.17814597487449646,0.24244272708892822,0.01876087300479412
6,true_crime,MrBallen Podcast ｜ Episode ＂4 Incredibly Strange Disappearances ＂ (PODCAST EPISODE).mp3,1123.095703125,309.8154296875,624.6482543945312,281.5815124511719,334.8806457519531,1162.79541015625,1268.137451171875,755.5146484375,334.96875,1851.923583984375,271.19451904296875,775.2466430664062,469.0601501464844,615.4210815429688,495.24639892578125,1241.067626953125,633.6243896484375,1061.601806640625,705.0139770507812,455.771484375,664.4200439453125,721.160400390625,675.296875,654.6799926757812,397.5999450683594,642.1688842773438,718.952392578125,296.5379943847656,545.8689575195312,386.0088806152344,1320.4063720703125,801.994140625,691.535888671875,624.4251098632812,1093.113525390625,1364.9739990234375,320.5901794433594,744.2741088867188,659.149169921875,685.4586181640625,1137.6661376953125,970.818359375,828.0482177734375,1075.4539794921875,326.3139343261719,580.1486206054688,839.5704956054688,665.5389404296875,714.4312133789062,582.7960205078125,1119.4708251953125,0.20280097424983978,0.20791491866111755,0.2489556223154068,0.1180420070886612,0.23323330283164978,0.262006014585495,0.21233758330345154,0.24041226506233215,0.22745375335216522,0.0754568949341774,0.2125759720802307,0.26463496685028076,0.2599758803844452,0.15349775552749634,0.2050630897283554,0.06987809389829636,0.25565990805625916,0.35260701179504395,0.25086671113967896,0.06137485057115555,0.11629679054021835,0.23598653078079224,0.22931581735610962,0.19204814732074738,0.2576473355293274,0.17811915278434753,0.30183175206184387,0.23893533647060394,0.21439872682094574,0.28528159856796265,0.3870498538017273,0.1513545960187912,0.3315175771713257,0.3239293098449707,0.3962171971797943,0.3463066816329956,0.16429370641708374,0.5058556199073792,0.27963584661483765,0.34156814217567444,0.03877163305878639,0.2486899495124817,0.33932772278785706,0.2962627708911896,0.20209413766860962,0.3571290075778961,0.16114580631256104,0.36702796816825867,0.21509408950805664,0.25422146916389465,0.14933796226978302
7,true_crime,The Itaewon Halloween Tragedy - 159 Dead & How The Police Tried To Cover It Up.mp3,2094.41064453125,767.4898681640625,1269.6578369140625,610.599609375,1491.746826171875,2186.719482421875,933.9905395507812,772.9124755859375,946.103759765625,1048.606201171875,0.0,739.8901977539062,356.92059326171875,1556.4908447265625,1229.4637451171875,291.378662109375,1664.844970703125,1058.142333984375,797.15625,1239.67236328125,1918.4515380859375,658.5882568359375,675.513671875,539.9298095703125,2446.168212890625,1913.3634033203125,683.2767333984375,276.93585205078125,1797.9739990234375,748.7883911132812,1170.814208984375,0.0,1045.598876953125,1384.2718505859375,322.0059814453125,668.7489624023438,656.5773315429688,719.2614135742188,301.20611572265625,266.95513916015625,813.1585083007812,289.8829345703125,252.50335693359375,1631.7667236328125,315.4217529296875,965.3255004882812,2379.40771484375,709.5946044921875,2110.65380859375,1781.8824462890625,1199.6600341796875,0.2699452340602875,0.2393701821565628,0.2136344462633133,0.213147833943367,0.2720707952976227,0.08814635127782822,0.31545519828796387,0.3483147621154785,0.3328903913497925,0.189658984541893,0.16311809420585632,0.06495346873998642,0.2864648103713989,0.03396689146757126,0.23079906404018402,0.2666155993938446,0.3063661456108093,0.32133832573890686,0.1454140543937683,0.24761123955249786,0.30098941922187805,0.14495709538459778,0.26535260677337646,0.21865372359752655,0.20690803229808807,0.19100303947925568,0.020513957366347313,0.25494828820228577,0.12057088315486908,0.2608256936073303,0.17978259921073914,0.18575850129127502,0.3996586799621582,0.29518672823905945,0.18043798208236694,0.2590785026550293,0.2655545473098755,0.3984120786190033,0.22532376646995544,0.3069102466106415,0.19047583639621735,0.22678978741168976,0.16108323633670807,0.29068523645401,0.28309521079063416,0.29883575439453125,0.10568338632583618,0.2925289273262024,0.19416417181491852,0.16137026250362396,0.018469305709004402
8,true_crime,Gerard John Schaefer ＂The Hangman＂ ｜ Episode 358 ｜ Morbid： A True Crime Podcast.mp3,2064.173583984375,1095.21435546875,526.3757934570312,658.6279296875,1137.184326171875,1662.623779296875,624.0425415039062,385.1529541015625,721.4778442382812,2046.9180908203125,1191.8013916015625,348.3524475097656,2039.2164306640625,308.0783996582031,1396.187744140625,406.385986328125,1576.558837890625,1310.8765869140625,1613.4530029296875,324.6958312988281,846.3590087890625,641.1580200195312,1533.0909423828125,2481.68603515625,1859.87646484375,258.0506591796875,307.73095703125,762.6549682617188,2074.9404296875,1670.3763427734375,293.13336181640625,345.2193908691406,666.6175537109375,786.1651611328125,1583.467041015625,1682.229736328125,1314.532470703125,430.73150634765625,1685.068115234375,714.6659545898438,796.9019775390625,840.9201049804688,746.6126098632812,649.7952880859375,966.3896484375,2248.519287109375,344.7235412597656,411.7261047363281,1244.252197265625,1345.294189453125,484.26544189453125,0.00764483492821455,0.3737609088420868,0.29840439558029175,0.026680637151002884,0.18603773415088654,0.24948281049728394,0.14084447920322418,0.20857982337474823,0.2742960751056671,0.05867203697562218,0.21153883635997772,0.3562212586402893,0.10983201861381531,0.2935371994972229,0.34275704622268677,0.16985097527503967,0.23484662175178528,0.33803892135620117,0.14783801138401031,0.2347337156534195,0.37065842747688293,0.326438844203949,0.24207191169261932,0.14273856580257416,0.024064352735877037,0.24366432428359985,0.21957117319107056,0.2456943243741989,0.22285066545009613,0.3452069163322449,0.29313477873802185,0.3074837327003479,0.35170087218284607,0.2623421847820282,0.2125101387500763,0.36377665400505066,0.2729688286781311,0.22958636283874512,0.0355893112719059,0.2718149423599243,0.2697192132472992,0.20777404308319092,0.04080025479197502,0.2753899097442627,0.3408353924751282,0.09256749600172043,0.19156205654144287,0.33404889702796936,0.3607766628265381,0.32624948024749756,0.011727787554264069
9,true_crime,Unhinged & Barbaric： The HORRIFYING Story of The Taylor Parker Case in Texas ｜ Reagan Hancock.mp3,1411.018798828125,0.0,1679.714111328125,1283.7191162109375,890.8505249023438,1402.8548583984375,1189.470458984375,0.0,924.7294921875,757.7874755859375,1358.0032958984375,874.2267456054688,622.2926025390625,967.4515380859375,2831.78125,783.3388671875,753.4085083007812,1163.89013671875,0.0,611.15380859375,370.80450439453125,0.0,2524.099609375,889.4445190429688,420.7830810546875,372.3150329589844,366.9585266113281,452.4942626953125,0.0,1059.9010009765625,951.2498168945312,894.4774780273438,338.29559326171875,0.0,443.2153015136719,890.4478759765625,2092.4326171875,492.7351379394531,604.6895751953125,332.6176452636719,687.898193359375,1047.95361328125,398.7647705078125,1200.83984375,0.0,1601.09814453125,1169.574951171875,192.40748596191406,769.4213256835938,331.20703125,180.74429321289062,0.07036539912223816,0.10338671505451202,0.12279542535543442,0.2580861747264862,0.32343509793281555,0.32603156566619873,0.11715351045131683,0.09721973538398743,0.2859290838241577,0.282050758600235,0.25167393684387207,0.3243981897830963,0.25887927412986755,0.17964956164360046,0.18314366042613983,0.29669439792633057,0.18498028814792633,0.13274887204170227,0.13274499773979187,0.1928441971540451,0.3975314199924469,0.2131640464067459,0.17137832939624786,0.24523358047008514,0.3085237741470337,0.23825886845588684,0.169343963265419,0.26521962881088257,0.12628674507141113,0.18741635978221893,0.18613003194332123,0.23362961411476135,0.17803612351417542,0.11645493656396866,0.16521677374839783,0.3275446593761444,0.05239744111895561,0.03226400539278984,0.2013552188873291,0.26233455538749695,0.13496005535125732,0.19302326440811157,0.1965854912996292,0.16834549605846405,0.08795806020498276,0.22606268525123596,0.16852231323719025,0.15237382054328918,0.13046906888484955,0.17683713138103485,0.025517601519823074
